iter	Passed	Remaining
600	1212	805
601	1214	803
602	1216	800
603	1218	798
604	1219	796
605	1221	794
606	1223	792
607	1225	789
608	1226	787
609	1228	785
610	1230	783
611	1232	781
612	1234	779
613	1236	777
614	1238	775
615	1240	773
616	1241	770
617	1243	768
618	1244	766
619	1246	763
620	1247	761
621	1249	759
622	1251	757
623	1253	755
624	1255	753
625	1257	751
626	1259	749
627	1261	747
628	1263	745
629	1265	743
630	1267	741
631	1269	739
632	1270	736
633	1272	734
634	1274	732
635	1276	730
636	1278	728
637	1280	726
638	1282	724
639	1284	722
640	1286	720
641	1288	718
642	1290	716
643	1293	714
644	1295	713
645	1297	711
646	1299	709
647	1301	707
648	1303	704
649	1305	702
650	1307	700
651	1309	699
652	1311	697
653	1314	695
654	1315	692
655	1317	691
656	1319	689
657	1321	686
658	1324	685
659	1326	683
660	1328	681
661	1329	679
662	1331	677
663	1333	674
664	1335	672
665	1338	671
666	1340	669
667	1342	667
668	1344	665
669	1346	663
670	1348	661
671	1350	659
672	1352	657
673	1354	655
674	1356	653
675	1358	651
676	1360	649
677	1362	647
678	1364	645
679	1366	643
680	1368	641
681	1370	639
682	1372	637
683	1374	635
684	1376	633
685	1378	631
686	1380	629
687	1382	627
688	1385	625
689	1387	623
690	1389	621
691	1391	619
692	1393	617
693	1395	615
694	1397	613
695	1399	611
696	1401	609
697	1403	607
698	1404	604
699	1406	602
700	1408	600
701	1410	598
702	1412	596
703	1414	594
704	1416	592
705	1417	590
706	1419	588
707	1421	586
708	1423	584
709	1425	582
710	1427	580
711	1428	577
712	1430	575
713	1431	573
714	1434	571
715	1435	569
716	1436	566
717	1438	564
718	1439	562
719	1442	560
720	1443	558
721	1445	556
722	1446	554
723	1449	552
724	1450	550
725	1452	548
726	1454	546
727	1456	544
728	1458	542
729	1460	540
730	1462	538
731	1464	536
732	1466	534
733	1467	531
734	1469	529
735	1471	527
736	1473	525
737	1475	523
738	1477	521
739	1479	519
740	1480	517
741	1482	515
742	1484	513
743	1486	511
744	1488	509
745	1489	507
746	1491	505
747	1492	502
748	1493	500
749	1495	498
750	1496	496
751	1499	494
752	1501	492
753	1502	490
754	1503	488
755	1505	485
756	1506	483
757	1507	481
758	1509	479
759	1511	477
760	1513	475
761	1515	473
762	1516	471
763	1518	469
764	1519	466
765	1520	464
766	1522	462
767	1523	460
768	1524	458
769	1526	456
770	1528	453
771	1530	452
772	1532	449
773	1533	447
774	1535	445
775	1537	443
776	1539	441
777	1541	439
778	1543	437
779	1545	435
780	1547	433
781	1549	431
782	1551	429
783	1552	427
784	1554	425
785	1556	423
786	1558	421
787	1560	419
788	1562	417
789	1564	415
790	1566	413
791	1568	411
792	1569	409
793	1571	407
794	1573	405
795	1575	403
796	1577	401
797	1579	399
798	1581	397
799	1583	395
800	1584	393
801	1586	391
802	1588	389
803	1590	387
804	1592	385
805	1594	383
806	1595	381
807	1597	379
808	1598	377
809	1600	375
810	1601	373
811	1603	371
812	1605	369
813	1607	367
814	1609	365
815	1610	363
816	1612	361
817	1614	359
818	1616	357
819	1618	355
820	1620	353
821	1621	351
822	1623	349
823	1625	347
824	1627	345
825	1629	343
826	1631	341
827	1633	339
828	1635	337
829	1636	335
830	1638	333
831	1640	331
832	1642	329
833	1644	327
834	1646	325
835	1647	323
836	1650	321
837	1651	319
838	1652	317
839	1653	314
840	1654	312
841	1655	310
842	1657	308
843	1658	306
844	1659	304
845	1660	302
846	1661	300
847	1662	298
848	1664	296
849	1666	294
850	1667	291
851	1668	289
852	1669	287
853	1670	285
854	1671	283
855	1673	281
856	1674	279
857	1675	277
858	1676	275
859	1677	273
860	1679	271
861	1680	269
862	1682	267
863	1684	265
864	1685	263
865	1687	261
866	1689	259
867	1691	257
868	1693	255
869	1695	253
870	1697	251
871	1699	249
872	1701	247
873	1702	245
874	1704	243
875	1706	241
876	1708	239
877	1710	237
878	1712	235
879	1713	233
880	1715	231
881	1717	229
882	1718	227
